"","pair","participant","round","target","first_cue","fas_tcfirst","bas_tcfirst","first_response","fas_crfirst","bas_crfirst","second_cue","fas_tcsecond","bas_tcsecond","second_response","fas_crsecond","bas_crsecond","third_cue","fas_tcthird","bas_tcthird","third_response","fas_crthird","bas_crthird","fourth_cue","fas_tcfourth","bas_tcfourth","fourth_response","fas_crfourth","bas_crfourth","fifth_cue","fas_tcfifth","bas_tcfifth","fifth_response","fas_crfifth","bas_crfifth","condition","language","ideas_whatexperimentabout","comments","version","country"
"1","A",1,1,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German","#knowing it's about common ground in communication, so which words said most often/most likely to be said","#barely know each other counted as no relation",1,NA
"2","A",2,2,"Hafen","Schiff",0.724489796,NA,"Boot",NA,NA,"anlegen",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"3","A",1,3,"Brunnen","Wasser",0.680412371,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"4","A",2,4,"Kamm","striegeln",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"5","A",1,5,"Dach","Haus",0.29,"0.134020619","Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"6","A",2,6,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"Beerdigung",0.010204082,NA,"Rose",NA,NA,"Schwert",NA,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"7","A",1,7,"Paddel","Kanu",0.08,"0.020408163","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"8","A",2,8,"Gebiss","Zähne",NA,NA,"Zahnarzt",NA,NA,"Zahnreihe",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"9","A",1,9,"Feder","leicht",0.087121212,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"10","A",2,10,"Schirm","Schutz",0.122605364,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"11","A",1,11,"Radio","Musik",0.51,NA,"Kassette",NA,NA,"aufdrehen",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"12","A",2,12,"Axt","hacken",0.037800687,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"13","A",1,13,"Butter","zart",0.006756757,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"14","A",2,14,"Rüstung","Ritter",0.29109589,"0.190972222","Burg",NA,NA,"Helm",0.003424658,NA,"Schwert",NA,NA,"Schutz",0.037671233,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"15","A",1,15,"Hammer","klopfen",0.010135135,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"16","A",2,16,"Lehrerin","unterrichten",NA,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"17","A",1,17,"Mauer","zu",0.003424658,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"18","A",2,18,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"19","A",1,19,"Pilz","wachsen",0.003558719,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"20","A",2,20,"Brücke","überqueren",0.024305556,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"21","B",3,1,"Krone","Königin",0.041237113,"0.041237113","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","#German connections influenced by words; words are (going to be) connected in a language; with which signal word?","#signaller: ""nicht das beste, aber.. Königin"" for 1. cue word""",1,NA
"22","B",4,2,"Hafen","Schiff",0.724489796,NA,"Yacht",NA,NA,"Dock",NA,NA,"Anker",NA,NA,"Handel",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#signaller: ""Dock. Also das Dock von andocken""",1,NA
"23","B",3,3,"Brunnen","Quelle",NA,NA,"Fontäne",NA,NA,"Systerne",NA,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"24","B",4,4,"Kamm","Haare",0.020408163,"0.030612245","Friseur",NA,NA,"Bürste",0.081632653,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"25","B",3,5,"Dach","Ritze",NA,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#Ritze? (#Bitze?)",1,NA
"26","B",4,6,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"Pflanzengattung",NA,NA,"Gießkanne",NA,NA,"schön",NA,NA,"Rose",NA,NA,"Zwiebel",NA,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#signaller:""fast"" after 3rd response ""Rose"" #signaller: ""Zwiebel. Zwiebelpflanze""",1,NA
"27","B",3,7,"Paddel","Düffel",NA,NA,"Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#[dofl] as 1st cue word?",1,NA
"28","B",4,8,"Gebiss","Zähne",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"29","B",3,9,"Feder","Schreibstück/Schreiber",NA,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#1st cue/signaller: ""Schreibstück oder einfach Schreiber""",1,NA
"30","B",4,10,"Schirm","Regen",0.283524904,"0.050847458","Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"31","B",3,11,"Radio","Sendung",0.01,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"32","B",4,12,"Axt","Holz",0.206185567,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"33","B",3,13,"Butter","Milchfett",NA,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"34","B",4,14,"Rüstung","Soldat",0.010273973,NA,"Schwert",NA,NA,"Körperpanzerung",NA,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"35","B",3,15,"Hammer","Sichel",0.016891892,"0.043010753","Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"36","B",4,16,"Lehrerin","Schule",0.229965157,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"37","B",3,17,"Mauer","Festung",NA,NA,"Burg",NA,NA,"Wand",0.037671233,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"38","B",4,18,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"39","B",3,19,"Pilz","Champignon",0.088967972,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#signaller: ""also ich denke das wird ein bisschen einfacher sein.. Äh, Champignon"" for fist cue",1,NA
"40","B",4,20,"Brücke","Verbindung",0.052083333,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
"41","C",5,1,"Pilz","Pflanze",0.003558719,NA,"Pilze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German","#finding words #duration",NA,2,NA
"42","C",6,2,"Radio","Musiksender",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"43","C",5,3,"Axt","Gartenarbeit",NA,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,"#guesser first understood ""Klassenarbeit""",2,NA
"44","C",6,4,"Hafen","Schiffstopp",NA,NA,"Anker",NA,NA,"Halt",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,"#signaller said: ""okay, Ich weiß zwar nicht, ob es das Wort gibt""",2,NA
"45","C",5,5,"Lehrerin","Instruktion",NA,NA,"Schultafel",NA,NA,"Leiterin",NA,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"46","C",6,6,"Mauer","Grenze",0.034246575,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"47","C",5,7,"Hammer","Werkzeug",0.121621622,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"48","C",6,8,"Lilie","Blume",0.62244898,"0.01010101","Tulpe",NA,NA,"gelb",NA,NA,"Blüte",NA,NA,"Blumenart",NA,NA,"Rose",NA,NA,"Frühling",NA,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"49","C",5,9,"Krone","Königszeichen",NA,NA,"Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"50","C",6,10,"Kamm","Haare",0.020408163,"0.030612245","Perücke",NA,NA,"Werkzeug",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"51","C",5,11,"Paddel","Bootsbestandteil",NA,NA,"Anker",NA,NA,"Stange",NA,NA,"Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"52","C",6,12,"Schirm","Regenschutz",NA,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"53","C",5,13,"Brücke","Wasserüberquerung",NA,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"54","C",6,14,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"55","C",5,15,"Butter","Frühstückszutat",NA,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"56","C",6,16,"Feder","Vogel",0.208333333,"0.057471264","Kuckuck",NA,NA,"Bestandteil",NA,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"57","C",5,17,"Brunnen","Quelle",NA,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"58","C",6,18,"Rüstung","Ritter",0.29109589,"0.190972222","Mittelalter",NA,NA,"Schutz",0.037671233,NA,"Schwert",NA,NA,"Bekleidung",NA,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"59","C",5,19,"Dach","Schutz",0.09,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"60","C",6,20,"Gebiss","Zähne",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"61","D",7,1,"Pilz","Wald",0.224199288,NA,"Jäger",NA,NA,"Risotto",NA,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German","#which words are chosen #types of words, e.g. verbs or nouns as cues",NA,2,NA
"62","D",8,2,"Radio","Rundfunk",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"63","D",7,3,"Axt","fällen",0.041237113,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"64","D",8,4,"Hafen","Schiffe",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"65","D",7,5,"Lehrerin","Notengeberin",NA,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"66","D",8,6,"Mauer","Maurer",0.017123288,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,"#""Maurer"" as cue for ""Mauer""; cue word shouldn't include target word!",2,NA
"67","D",7,7,"Hammer","Nagel",0.287162162,NA,"Feile",NA,NA,"Speer",NA,NA,"Daumen",NA,NA,"Wand",0.057432432,NA,"Bild",NA,NA,NA,NA,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,"#2nd response was probably still related to first cue, Nagel -> Feile; Nagel --> Daumen, rather than Speer --> Daumen; unfortunately guesser said Hammer (4th response)  right after ""Bild"", so there's no 4th cue available, only a 4th response",2,NA
"68","D",8,8,"Lilie","Bluete",NA,NA,"Rose",NA,NA,"Friedhof",0.010204082,NA,"Gießkanne",NA,NA,"weiß",0.030612245,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,"#Blüte in den Vorschlägen",2,NA
"69","D",7,9,"Krone","Königin",0.041237113,"0.041237113","Thron",NA,NA,"Kopf",NA,NA,"Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"70","D",8,10,"Kamm","Haare",0.020408163,"0.030612245","Perücke",NA,NA,"entwirren",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"71","D",7,11,"Paddel","Kanu",0.08,"0.020408163","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"72","D",8,12,"Schirm","Regen",0.283524904,"0.050847458","Rinne",NA,NA,"Stiel",0.003831418,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"73","D",7,13,"Brücke","überqueren",0.024305556,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"74","D",8,14,"Knochen","gebrochen",0.006993007,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"75","D",7,15,"Butter","schmelzen",0.006756757,NA,"Käse",NA,NA,"Fett ",NA,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"76","D",8,16,"Feder","leicht",0.087121212,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"77","D",7,17,"Brunnen","tief",0.12371134,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"78","D",8,18,"Rüstung","Ritter",0.29109589,"0.190972222","Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"79","D",7,19,"Dach","Schutz",0.09,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"80","D",8,20,"Gebiss","Alter",0.010204082,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"81","E",9,1,"Pilz","Wald",0.224199288,NA,"Baum",NA,NA,"giftig",0.149466192,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","#communication, finding language when you cannot see your vis-à-vis","#Baum not on guesser's list!",2,NA
"82","E",10,2,"Radio","Musik",0.51,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","#word formation/-etymology",NA,2,NA
"83","E",9,3,"Axt","fällen",0.041237113,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"84","E",10,4,"Hafen","Schiff",0.724489796,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"85","E",9,5,"Lehrerin","Schule",0.229965157,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"86","E",10,6,"Mauer","Mörtel",0.017123288,NA,"Statue",NA,NA,"Steine",NA,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"87","E",9,7,"Hammer","Nagel",0.287162162,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"88","E",10,8,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#sig: ""orange, beispielsweise"" as 2nd cue",2,NA
"89","E",9,9,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
