"","pair","participant","round","target","first_cue","fas_tcfirst","bas_tcfirst","first_response","fas_crfirst","bas_crfirst","second_cue","fas_tcsecond","bas_tcsecond","second_response","fas_crsecond","bas_crsecond","third_cue","fas_tcthird","bas_tcthird","third_response","fas_crthird","bas_crthird","fourth_cue","fas_tcfourth","bas_tcfourth","fourth_response","fas_crfourth","bas_crfourth","fifth_cue","fas_tcfifth","bas_tcfifth","fifth_response","fas_crfifth","bas_crfifth","condition","language","ideas_whatexperimentabout","comments","version","country"
"90","E",10,10,"Kamm","Haare",0.020408163,"0.030612245","Schirm",NA,NA,"Zacken",0.030612245,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#guesser was at wrong round and said ""Schirm"" as first response… mabye first one would have been correct otherwise?",2,NA
"91","E",9,11,"Paddel","Boot",0.63,"0.010309278","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"92","E",10,12,"Schirm","Regen",0.283524904,"0.050847458","Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"93","E",9,13,"Brücke","Bogen",0.006944444,"0.003802281","Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"94","E",10,14,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"95","E",9,15,"Butter","Brot",0.202702703,"0.104377104","Bäcker",NA,NA,"streichen",0.043918919,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"96","E",10,16,"Feder","Vogel",0.208333333,"0.057471264","Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"97","E",9,17,"Brunnen","Fontäne",NA,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#Fontäne also on list",2,NA
"98","E",10,18,"Rüstung","Ritter",0.29109589,"0.190972222","Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#sig: ""Rüs.. Äh, Ritter!""",2,NA
"99","E",9,19,"Dach","Ziegel",0.32,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"100","E",10,20,"Gebiss","Opa",0.040816327,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"101","F",11,1,"Pilz","Wald",0.224199288,NA,"Jäger",NA,NA,"fliegen",NA,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"102","F",12,2,"Radio","Moderator",NA,NA,"Mikrophon",NA,NA,"Rundfunk",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#""laut, aso ne sorry, Moderator?"" as 1st cue",2,NA
"103","F",11,3,"Axt","Handwerker",NA,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"104","F",12,4,"Hafen","Einfahrt",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"105","F",11,5,"Lehrerin","Anleiterin",NA,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"106","F",12,6,"Mauer","Ziegeln",NA,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"107","F",11,7,"Hammer","Nagel",0.287162162,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"108","F",12,8,"Lilie","Blume",0.62244898,"0.01010101","Rose",NA,NA,"Beet",NA,NA,"Tulpe",NA,NA,"orange",NA,NA,"Blüte",NA,NA,"Garten",NA,NA,"Gießkanne",NA,NA,"weiß","0.030612245",NA,NA,NA,NA,"non-face","German",NA,"sig: ""dann die andere Farbe die es gibt, weiß"" (probably didn't influence results because 5th cue, so only final option left)",2,NA
"109","F",11,9,"Krone","König",0.793814433,"0.257731959","Thron",NA,NA,"Kopf",NA,NA,"Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"110","F",12,10,"Kamm","Bürste",0.081632653,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"111","F",11,11,"Paddel","Kajak",0.01,NA,"Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"112","F",12,12,"Schirm","Schutz",0.122605364,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"113","F",11,13,"Brücke","Fluss",0.21875,"0.033783784","Wasser",NA,NA,"Überquerung",NA,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"114","F",12,14,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"115","F",11,15,"Butter","Aufstrich",NA,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"116","F",12,16,"Feder","Indianer",0.026515152,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"117","F",11,17,"Brunnen","Quelle",NA,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"118","F",12,18,"Rüstung","Metall",0.047945205,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"119","F",11,19,"Dach","Haus",0.29,"0.134020619","Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"120","F",12,20,"Gebiss","Kiefer",0.010204082,NA,"Zahnarzt",NA,NA,"Glas",NA,NA,"Mund",NA,NA,"Zähne",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"121","G",13,1,"Pilz","Champignon",0.088967972,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"122","G",14,2,"Radio","hören",0.1,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"123","G",13,3,"Axt","holzfällen",NA,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"124","G",14,4,"Hafen","Schiffe",NA,NA,"Yacht",NA,NA,"Wasser",0.030612245,NA,"Anker",NA,NA,"Marine",NA,NA,"Matrose",NA,NA,"Hamburg",0.030612245,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"125","G",13,5,"Lehrerin","unterrichten",NA,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"126","G",14,6,"Mauer","Begrenzung",0.020547945,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"127","G",13,7,"Hammer","Nagel",0.287162162,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"128","G",14,8,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"weiß",0.030612245,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"129","G",13,9,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"130","G",14,10,"Kamm","Haare",0.020408163,"0.030612245","Friseur",NA,NA,"Scheitel",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"131","G",13,11,"Paddel","Kanu",0.08,"0.020408163","Fluss",NA,NA,"lenken",NA,NA,"Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"132","G",14,12,"Schirm","Regen",0.283524904,"0.050847458","Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"133","G",13,13,"Brücke","überqueren",0.024305556,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"134","G",14,14,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"135","G",13,15,"Butter","Brot",0.202702703,"0.104377104","Bäcker",NA,NA,"Milch",0.054054054,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"136","G",14,16,"Feder","Flügel",0.007575758,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"137","G",13,17,"Brunnen","Wasser",0.680412371,NA,"Fontäne",NA,NA,"schöpfen",NA,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"138","G",14,18,"Rüstung","Schutz",0.037671233,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"139","G",13,19,"Dach","Haus",0.29,"0.134020619","Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"140","G",14,20,"Gebiss","Zähne",NA,NA,"Mund",NA,NA,"kauen",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"141","H",15,1,"Pilz","Stroganoff",NA,NA,"Bombe",NA,NA,"fliegen",NA,NA,"Gewehr",NA,NA,"gepunktet",NA,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#guesser didn't know what ""Stroganoff"" is and didn't undersand how the list works at the beginning",2,"Swiss German"
"142","H",16,2,"Radio","BigFM",NA,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"143","H",15,3,"Axt","Holz",0.206185567,NA,"Schrank",NA,NA,"hacken",0.037800687,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#guesser understood ""hocken"" instead of ""hacken"" because of the sig's Swiss accent; he improved himself from Hocker to Axt",2,NA
"144","H",16,4,"Hafen","Schiff",0.724489796,NA,"Yacht",NA,NA,"Anker",0.010204082,0.010204082,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"145","H",15,5,"Lehrerin","Unterricht",0.108013937,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"146","H",16,6,"Mauer","Backsteine",NA,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"147","H",15,7,"Hammer","Nagel",0.287162162,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"148","H",16,8,"Lilie","Blume",0.62244898,"0.01010101","Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#sig:""Blume.. Ok, das kann jetzt alles sein""",2,NA
"149","H",15,9,"Krone","Zahn",0.010309278,NA,"Löwe",NA,NA,"König/Königin",NA,NA,"Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#sig:""König oder Königin""",2,NA
"150","H",16,10,"Kamm","Haare",0.020408163,"0.030612245","Kopf",NA,NA,"entwirren",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"151","H",15,11,"Paddel","Boot",0.63,"0.010309278","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"152","H",16,12,"Schirm","Regenschutz",NA,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"153","H",15,13,"Brücke","Fluss",0.21875,"0.033783784","Wasser",NA,NA,"über",NA,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"154","H",16,14,"Knochen","brechen",0.041958042,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"155","H",15,15,"Butter","Milch",0.054054054,NA,"Käse",NA,NA,"Brot",0.202702703,0.104377104,"Buttter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"156","H",16,16,"Feder","Vogel",0.208333333,"0.057471264","Strauß",NA,NA,"fliegen",0.026515152,NA,"Kuckuck",NA,NA,"schreiben",0.090909091,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"157","H",15,17,"Brunnen","Wasser",0.680412371,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"158","H",16,18,"Rüstung","Verteidigung",NA,NA,"Burg",NA,NA,"Waffen",NA,NA,"Schwert",NA,NA,"Krieg",0.02739726,NA,"Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"159","H",15,19,"Dach","Haus",0.29,"0.134020619","Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#guesser didn't know what ""Schindel"" is, so new words was provided",2,NA
"160","H",16,20,"Gebiss","Zahnersatz",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"161","I",17,1,"Krone","Kopf",NA,NA,"Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"162","I",18,2,"Hafen","Schiff",0.724489796,NA,"Yacht",NA,NA,"Anker",0.010204082,0.010204082,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"163","I",17,3,"Brunnen","Wasser",0.680412371,NA,"Brunnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"164","I",18,4,"Kamm","Haare",0.020408163,"0.030612245","Perücke",NA,NA,"Holz",NA,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"165","I",17,5,"Dach","Decker",NA,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"166","I",18,6,"Lilie","Blume",0.62244898,"0.01010101","Tulpe",NA,NA,"exotisch",0.010204082,NA,"Lilie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"167","I",17,7,"Paddel","Ruder",0.02,NA,"Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"168","I",18,8,"Gebiss","Mund",NA,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"169","I",17,9,"Feder","Gefieder",0.007575758,NA,"Pfau",NA,NA,"Vogel",0.208333333,0.057471264,"Strauß",NA,NA,"Haut",NA,NA,"Kuckuck",NA,NA,"Fell",NA,NA,"Feder",NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"170","I",18,10,"Schirm","Regen",0.283524904,"0.050847458","Dach",NA,NA,"Schutz",0.122605364,NA,"Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"171","I",17,11,"Radio","Funk",0.01,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"172","I",18,12,"Axt","Holz",0.206185567,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"173","I",17,13,"Butter","Milch",0.054054054,NA,"Käse",NA,NA,"Margarine",0.040540541,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"174","I",18,14,"Rüstung","Ritter",0.29109589,"0.190972222","Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"175","I",17,15,"Hammer","Werkzeug",0.121621622,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"176","I",18,16,"Lehrerin","Schüler",0.034843206,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"177","I",17,17,"Mauer","Haus",0.051369863,"0.003460208","Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"178","I",18,18,"Knochen","Hund",0.195804196,"0.010452962","Dackel",NA,NA,"Leckerli",0.003496503,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"179","I",17,19,"Pilz","Schimmel",0.003558719,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"180","I",18,20,"Brücke","Stein",0.069444444,NA,"Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,1,NA
"181","J",19,1,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","word associations, connect with other words; clarity of communication",NA,1,NA
"182","J",20,2,"Hafen","Schiff",0.724489796,NA,"Anker",NA,NA,"anlegen",NA,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,1,NA
